photos,price_reduced_amount,description.sold_price,description.sqft,description.baths,description.garage,description.stories,description.beds,products.brand_name,description.type_townhomes,days_listed,n_amenities,n_high_amenities,age_yrs,n_rooms
0,0.0,129900.0,1478.0,2.0,2.0,1.0,3.0,1,0,28,10.0,4.0,26,5.0
1,3000.0,88500.0,1389.0,2.0,1.0,2.0,4.0,1,0,67,1.0,1.0,79,6.0
0,0.0,145000.0,2058.0,2.0,0.0,1.0,3.0,1,0,28,4.0,1.0,55,5.0
1,9000.0,65000.0,1432.0,2.0,0.0,1.0,3.0,1,0,195,3.0,1.0,69,5.0
1,5000.0,169000.0,1804.0,2.0,0.0,1.0,3.0,2,0,75,3.0,1.0,40,5.0
1,0.0,180000.0,1476.0,2.0,0.0,1.0,3.0,2,0,35,7.0,3.0,25,5.0
1,5001.0,260000.0,1888.0,2.0,0.0,1.0,4.0,1,0,46,9.0,3.0,23,6.0
1,0.0,60000.0,1722.0,2.0,0.0,1.0,3.0,1,0,322,0.0,0.0,62,5.0
1,0.0,159000.0,1635.0,2.0,2.0,1.0,3.0,1,0,43,6.0,4.0,59,5.0
1,0.0,424900.0,3339.0,3.0,0.0,2.0,3.0,2,0,133,9.0,5.0,50,6.0
1,0.0,370000.0,1630.5,0.0,0.0,1.0,0.0,1,0,497,1.0,0.0,52,0.0
1,0.0,140000.0,1576.0,2.0,0.0,1.0,3.0,2,0,35,4.0,0.0,55,5.0
1,0.0,149900.0,1736.0,1.0,0.0,1.0,3.0,1,0,30,8.0,3.0,70,4.0
1,0.0,45000.0,1434.0,1.0,0.0,1.0,2.0,2,0,29,3.0,1.0,58,3.0
1,10000.0,310000.0,2134.0,2.0,2.0,1.0,4.0,2,0,136,9.0,6.0,18,6.0
1,0.0,147000.0,1650.0,2.0,0.0,1.0,3.0,2,0,77,5.0,0.0,38,5.0
1,0.0,195000.0,2264.0,2.0,2.0,1.0,5.0,1,0,169,7.0,2.0,56,7.0
1,0.0,136000.0,1752.0,2.0,2.0,1.0,3.0,2,0,61,2.0,0.0,56,5.0
1,0.0,31500.0,961.0,1.0,0.0,1.0,3.0,1,0,0,3.0,1.0,66,4.0
1,5000.0,178000.0,1892.0,2.0,0.0,1.0,4.0,1,0,62,6.0,2.0,57,6.0
1,0.0,172500.0,1699.0,2.0,0.0,1.0,4.0,1,0,34,5.0,3.0,49,6.0
1,0.0,150000.0,1833.0,2.0,2.0,1.0,3.0,1,0,76,8.0,2.0,62,5.0
1,20000.0,170000.0,3092.0,3.0,0.0,1.0,3.0,1,0,122,5.0,2.0,79,6.0
1,0.0,125000.0,1380.0,1.0,0.0,1.0,3.0,2,0,60,4.0,1.0,67,4.0
1,0.0,162000.0,1539.0,2.0,0.0,1.0,3.0,1,0,57,10.0,6.0,40,5.0
1,0.0,111200.0,1178.0,2.0,0.0,1.0,3.0,1,0,57,9.0,4.0,74,5.0
1,0.0,63000.0,1290.0,1.0,1.0,1.0,3.0,2,0,61,5.0,1.0,76,4.0
1,0.0,106000.0,2349.0,2.0,0.0,1.0,4.0,2,0,74,3.0,0.0,60,6.0
1,0.0,245000.0,1742.0,2.0,2.0,1.0,3.0,1,0,80,8.0,4.0,23,5.0
1,15500.0,310000.0,3137.0,3.0,0.0,1.0,4.0,1,0,150,9.0,4.0,35,7.0
1,7900.0,100000.0,1471.0,1.0,0.0,1.0,3.0,1,0,106,1.0,0.0,74,4.0
1,0.0,95900.0,1200.0,2.0,0.0,1.0,3.0,2,0,32,6.0,3.0,53,5.0
0,0.0,375000.0,4483.0,4.0,2.0,2.0,4.0,1,0,105,9.0,4.0,84,8.0
1,0.0,320000.0,2488.0,2.0,2.0,1.0,3.0,1,0,33,9.0,4.0,20,5.0
1,100.0,120000.0,1747.0,2.0,0.0,1.0,3.0,2,0,91,2.0,0.0,53,5.0
1,0.0,283000.0,2069.0,2.0,2.0,1.0,4.0,1,0,54,9.0,3.0,30,6.0
1,0.0,284500.0,2124.0,2.0,0.0,1.0,4.0,1,0,48,8.0,3.0,30,6.0
1,0.0,160000.0,1475.0,2.0,0.0,1.0,2.0,1,0,55,6.0,2.0,35,4.0
1,5100.0,439900.0,3050.0,4.0,2.0,2.0,4.0,2,0,102,7.0,3.0,2,8.0
1,0.0,68250.0,2556.0,2.0,0.0,1.0,3.0,1,0,99,4.0,1.0,56,5.0
1,10000.0,385000.0,3288.0,4.0,2.0,2.0,4.0,1,0,167,10.0,5.0,37,8.0
1,0.0,139900.0,1500.0,2.0,0.0,1.0,4.0,1,0,28,3.0,2.0,46,6.0
1,0.0,115000.0,2240.0,2.0,0.0,1.0,3.0,1,0,149,5.0,2.0,48,5.0
1,0.0,140267.0,2210.0,3.0,0.0,1.0,3.0,2,0,99,2.0,1.0,69,6.0
1,0.0,173000.0,1249.0,2.0,0.0,1.0,2.0,2,0,80,8.0,4.0,15,4.0
1,10000.0,215000.0,1900.0,2.0,0.0,1.0,4.0,1,0,88,8.0,3.0,54,6.0
1,0.0,161000.0,1280.0,2.0,0.0,1.0,3.0,2,0,35,2.0,2.0,70,5.0
1,10500.0,359500.0,2080.0,2.0,2.0,1.0,4.0,1,0,77,4.0,2.0,5,6.0
1,0.0,205000.0,1830.0,2.0,0.0,1.0,3.0,1,0,47,1.0,1.0,26,5.0
1,4900.0,162000.0,1446.0,2.0,0.0,1.0,3.0,1,0,211,1.0,1.0,67,5.0
1,0.0,1170000.0,3928.0,5.0,3.0,3.0,4.0,1,0,46,5.0,4.0,6,9.0
1,0.0,225000.0,1633.0,3.0,2.0,2.0,3.0,1,0,59,6.0,3.0,45,6.0
1,10000.0,115000.0,754.0,1.0,0.0,1.0,2.0,1,0,87,2.0,1.0,69,3.0
1,0.0,63000.0,2184.0,2.0,3.0,1.0,4.0,2,0,42,2.0,1.0,84,6.0
1,4000.0,135000.0,1119.0,1.0,0.0,1.0,3.0,2,0,91,1.0,0.0,70,4.0
1,0.0,150000.0,1386.0,2.0,2.0,1.0,3.0,2,0,33,5.0,1.0,17,5.0
1,0.0,530000.0,2300.0,2.0,0.0,2.0,4.0,1,0,56,3.0,2.0,85,6.0
1,0.0,159900.0,1750.0,2.0,0.0,1.0,3.0,1,0,89,3.0,1.0,58,5.0
0,0.0,980000.0,3724.0,4.0,0.0,2.0,4.0,1,0,0,5.0,3.0,8,8.0
1,0.0,259900.0,1546.0,2.0,2.0,2.0,3.0,1,0,38,5.0,2.0,43,5.0
1,29100.0,570000.0,4596.0,3.0,0.0,3.0,4.0,1,0,82,3.0,3.0,97,7.0
1,5000.0,417000.0,2851.0,3.0,2.0,2.0,4.0,1,0,76,5.0,3.0,42,7.0
1,19250.0,396500.0,2340.0,3.0,2.0,2.0,4.0,1,0,120,7.0,4.0,24,7.0
1,0.0,150000.0,2124.0,3.0,2.0,2.0,4.0,2,0,63,5.0,3.0,47,7.0
1,0.0,9000.0,2054.0,2.0,2.0,2.0,4.0,1,0,23,1.0,0.0,55,6.0
1,0.0,255000.0,1497.0,2.0,2.0,2.0,3.0,1,0,39,3.0,1.0,54,5.0
0,0.0,63500.0,840.0,1.0,0.0,1.0,2.0,2,0,0,0.0,0.0,74,3.0
1,10100.0,455000.0,3084.0,2.0,2.0,1.0,3.0,2,0,52,5.0,3.0,18,5.0
1,10000.0,222000.0,1678.0,2.0,0.0,1.0,3.0,1,0,52,5.0,3.0,21,5.0
0,0.0,379000.0,1651.0,2.0,0.0,1.0,3.0,2,0,0,5.0,1.0,102,5.0
0,0.0,190000.0,2660.0,3.0,2.0,2.0,3.0,1,0,0,5.0,3.0,48,6.0
1,0.0,48500.0,864.0,1.0,0.0,1.0,2.0,1,0,70,2.0,0.0,54,3.0
1,0.0,175000.0,1681.0,2.0,1.0,2.0,3.0,1,0,101,2.0,1.0,63,5.0
1,0.0,107500.0,1630.5,0.0,0.0,1.0,0.0,2,0,119,2.0,1.0,52,0.0
